Date,Model,Type,Quantity
2010-06,Ford ,Ford Focus,254
2010-06,Audi ,Audi A4,242
2010-06,Toyota ,Toyota Prius,220
2010-06,Mitsubishi ,Mitsubishi Outlander,217
2010-06,Opel ,Opel Astra,213
2010-06,Volvo ,Volvo V50,197
2010-06,Peugeot ,Peugeot 3008,193
2010-06,Ford ,Ford Fiesta,186
2010-06,Volkswagen ,Volkswagen Polo,179
2010-06,Volkswagen ,Volkswagen Tiguan,126
2010-06,Toyota ,Toyota Urban Cruiser,112
2010-06,Audi ,Audi A3,101
2010-07,Volkswagen ,Volkswagen Golf,893
2010-07,Toyota ,Toyota Avensis,416
2010-07,Volvo ,Volvo V70,356
2010-07,Volkswagen ,Volkswagen Passat,347
2010-07,Nissan ,Nissan Qashqai,312
2010-07,Ford ,Ford Mondeo,310
2010-07,Volkswagen ,Volkswagen Polo,310
2010-07,Toyota ,Toyota Auris,306
2010-07,Volvo ,Volvo V50,299
2010-07,Skoda ,Skoda Octavia,282
2010-07,Audi ,Audi A4,248
2010-07,Volvo ,Volvo XC60,245
2010-07,Ford ,Ford Focus,202
2010-07,Peugeot ,Peugeot 3008,201
2010-07,Toyota ,Toyota Prius,199
2010-07,Mitsubishi ,Mitsubishi Outlander,199
2010-07,Ford ,Ford Fiesta,196
2010-07,Volkswagen ,Volkswagen Tiguan,183
2010-07,Opel ,Opel Astra,134
2010-07,Toyota ,Toyota Urban Cruiser,100
2010-08,Volkswagen ,Volkswagen Golf,544
2010-08,Toyota ,Toyota Avensis,411
2010-08,Ford ,Ford Fiesta,369
2010-08,Volkswagen ,Volkswagen Polo,291
2010-08,Nissan ,Nissan Qashqai,280
2010-08,Toyota ,Toyota Auris,254
2010-08,Volkswagen ,Volkswagen Passat,249
2010-08,Ford ,Ford Mondeo,248
2010-08,Audi ,Audi A4,237
2010-08,Volkswagen ,Volkswagen Tiguan,218
2010-08,Ford ,Ford Focus,210
2010-08,Peugeot ,Peugeot 3008,203
2010-08,Volvo ,Volvo V70,194
2010-08,Skoda ,Skoda Octavia,177
2010-08,Toyota ,Toyota Rav4,174
2010-08,Volvo ,Volvo V50,164
2010-08,Toyota ,Toyota Urban Cruiser,157
2010-08,Opel ,Opel Astra,144
2010-08,Mitsubishi ,Mitsubishi Outlander,141
2010-08,Toyota ,Toyota Prius,125
2010-09,Volkswagen ,Volkswagen Golf,670
2010-09,Volvo ,Volvo V70,463
2010-09,Toyota ,Toyota Auris,403
2010-09,Nissan ,Nissan Qashqai,367
2010-09,Ford ,Ford Focus,327
2010-09,Toyota ,Toyota Avensis,318
2010-09,Ford ,Ford Mondeo,267
2010-09,Skoda ,Skoda Octavia,258
2010-09,Ford ,Ford Fiesta,250
2010-09,Volkswagen ,Volkswagen Passat,235
2010-09,Volkswagen ,Volkswagen Tiguan,235
2010-09,Volkswagen ,Volkswagen Polo,210
2010-09,Peugeot ,Peugeot 3008,160
2010-09,Toyota ,Toyota Rav4,160
2010-09,Volvo ,Volvo V50,149
2010-09,Audi ,Audi A4,144
2010-09,Toyota ,Toyota Yaris,144
2010-09,Toyota ,Toyota Prius,131
2010-09,Mitsubishi ,Mitsubishi Outlander,122
2010-09,Opel ,Opel Astra,90
2010-10,Volkswagen ,Volkswagen Golf,742
2010-10,Volvo ,Volvo V70,393
2010-10,Nissan ,Nissan Qashqai,315
2010-10,Toyota ,Toyota Avensis,299
2010-10,Ford ,Ford Fiesta,299
2010-10,Volkswagen ,Volkswagen Polo,297
2010-10,Toyota ,Toyota Auris,273
2010-10,Skoda ,Skoda Octavia,258
2010-10,Volkswagen ,Volkswagen Tiguan,208
2010-10,Volvo ,Volvo V50,191
2010-10,Toyota ,Toyota Rav4,186
2010-10,Peugeot ,Peugeot 3008,183
2010-10,Audi ,Audi A4,178
2010-10,Ford ,Ford Focus,174
2010-10,Volkswagen ,Volkswagen Passat,168
2010-10,Toyota ,Toyota Prius,155
2010-10,Ford ,Ford Mondeo,147
2010-10,Toyota ,Toyota Yaris,136
2010-10,Toyota ,Toyota Urban Cruiser,133
2010-10,Mitsubishi ,Mitsubishi Outlander,123
2010-11,Volkswagen ,Volkswagen Golf,913
2010-11,Volvo ,Volvo V70,492
2010-11,Ford ,Ford Mondeo,424
2010-11,Toyota ,Toyota Avensis,354
2010-11,Skoda ,Skoda Octavia,323
2010-11,Volkswagen ,Volkswagen Polo,318
2010-11,Nissan ,Nissan Qashqai,306
2010-11,Mitsubishi ,Mitsubishi Outlander,283
2010-11,Toyota ,Toyota Auris,270
2010-11,Ford ,Ford Focus,209
2010-11,Audi ,Audi A4,205
2010-11,Toyota ,Toyota Rav4,205
2010-11,Toyota ,Toyota Urban Cruiser,202
2010-11,Toyota ,Toyota Yaris,187
2010-11,Ford ,Ford Fiesta,173
2010-11,Peugeot ,Peugeot 3008,165
2010-11,Volkswagen ,Volkswagen Tiguan,162
2010-11,Volvo ,Volvo V50,147
2010-11,Toyota ,Toyota Prius,105
2010-11,Volkswagen ,Volkswagen Passat,80
2010-12,Volvo ,Volvo V70,658
2010-12,Volkswagen ,Volkswagen Golf,537
2010-12,Ford ,Ford Mondeo,385
2010-12,Ford ,Ford Focus,303
2010-12,Volvo ,Volvo XC60,284
2010-12,Skoda ,Skoda Octavia,256
2010-12,Mitsubishi ,Mitsubishi Outlander,252
2010-12,Nissan ,Nissan Qashqai,182
2010-12,Volkswagen ,Volkswagen Passat,178
2010-12,Audi ,Audi A4,161
2010-12,Toyota ,Toyota Avensis,142
2010-12,Toyota ,Toyota Auris,142
2010-12,Volkswagen ,Volkswagen Polo,138
2010-12,Volvo ,Volvo V50,127
2010-12,Volkswagen ,Volkswagen Tiguan,124
2010-12,Ford ,Ford Fiesta,117
2010-12,Peugeot ,Peugeot 3008,115
2010-12,Toyota ,Toyota Rav4,88
2010-12,Toyota ,Toyota Yaris,74
2010-12,Toyota ,Toyota Prius,71
2011-01,Volkswagen ,Volkswagen Golf,637
2011-01,Toyota ,Toyota Avensis,414
2011-01,Toyota ,Toyota Auris,409
2011-01,Nissan ,Nissan Qashqai,303
2011-01,Volkswagen ,Volkswagen Polo,301
2011-01,Volkswagen ,Volkswagen Passat,269
2011-01,Skoda ,Skoda Octavia,257
2011-01,Ford ,Ford Mondeo,245
2011-01,Ford ,Ford Focus,206
2011-01,Volvo ,Volvo V70,203
2011-01,Mitsubishi ,Mitsubishi ASX,202
2011-01,Suzuki ,Suzuki Swift,199
2011-01,Toyota ,Toyota Rav4,194
2011-01,Volkswagen ,Volkswagen Touran,186
2011-01,Toyota ,Toyota Prius,173
2011-01,Suzuki ,Suzuki SX4,171
2011-01,BMW ,BMW X1,168
2011-01,Opel ,Opel Astra,168
2011-01,Peugeot ,Peugeot 3008,167
2011-01,Volkswagen ,Volkswagen Tiguan,158
2011-01,Volvo ,Volvo V50,158
2011-02,Volkswagen ,Volkswagen Golf,532
2011-02,Toyota ,Toyota Avensis,326
2011-02,Volvo ,Volvo V70,323
2011-02,Volkswagen ,Volkswagen Passat,319
2011-02,Ford ,Ford Mondeo,313
2011-02,Toyota ,Toyota Auris,283
2011-02,Skoda ,Skoda Octavia,278
2011-02,Nissan ,Nissan Qashqai,272
2011-02,Volvo ,Volvo V50,251
2011-02,Mitsubishi ,Mitsubishi ASX,222
2011-02,Volkswagen ,Volkswagen Polo,200
2011-02,Peugeot ,Peugeot 3008,192
2011-02,Ford ,Ford Focus,191
2011-02,Volkswagen ,Volkswagen Tiguan,183
2011-02,Volvo ,Volvo XC60,177
2011-02,Toyota ,Toyota Rav4,167
2011-02,Toyota ,Toyota Yaris,164
2011-02,Volkswagen ,Volkswagen Touran,159
2011-02,Opel ,Opel Astra,136
2011-02,Suzuki ,Suzuki Swift,124
2011-03,Volkswagen ,Volkswagen Golf,714
2011-03,Volvo ,Volvo V70,404
2011-03,Toyota ,Toyota Avensis,369
2011-03,Volkswagen ,Volkswagen Passat,347
2011-03,Mitsubishi ,Mitsubishi ASX,336
2011-03,Toyota ,Toyota Auris,322
2011-03,Ford ,Ford Focus,321
2011-03,Volkswagen ,Volkswagen Tiguan,296
2011-03,Nissan ,Nissan Qashqai,282
2011-03,Ford ,Ford Mondeo,280
2011-03,Volvo ,Volvo V50,257
2011-03,Volkswagen ,Volkswagen Polo,252
2011-03,Volvo ,Volvo XC60,240
2011-03,Opel ,Opel Astra,213
2011-03,Suzuki ,Suzuki Swift,212
2011-03,Skoda ,Skoda Octavia,209
2011-03,Toyota ,Toyota Yaris,188
2011-03,Peugeot ,Peugeot 3008,177
2011-03,Toyota ,Toyota Rav4,162
2011-03,Volkswagen ,Volkswagen Touran,130
2011-04,Volkswagen ,Volkswagen Golf,680
2011-04,Mitsubishi ,Mitsubishi ASX,642
2011-04,Volkswagen ,Volkswagen Passat,432
2011-04,Volvo ,Volvo V70,345
2011-04,Volkswagen ,Volkswagen Polo,335
2011-04,Toyota ,Toyota Avensis,296
2011-04,Toyota ,Toyota Auris,270
2011-04,Ford ,Ford Focus,266
2011-04,Nissan ,Nissan Qashqai,258
2011-04,Skoda ,Skoda Octavia,238
2011-04,Peugeot ,Peugeot 3008,222
2011-04,Ford ,Ford Mondeo,202
2011-04,Audi ,Audi A4,175
2011-04,Opel ,Opel Astra,172
2011-04,Volvo ,Volvo V50,156
2011-04,Volvo ,Volvo XC60,146
2011-04,Volkswagen ,Volkswagen Touran,139
2011-04,Volkswagen ,Volkswagen Tiguan,138
2011-04,Suzuki ,Suzuki Swift,128
2011-04,Toyota ,Toyota Rav4,114
2011-05,Volkswagen ,Volkswagen Golf,611
2011-05,Volkswagen ,Volkswagen Passat,581
2011-05,Mitsubishi ,Mitsubishi ASX,577
2011-05,Volvo ,Volvo V60,401
2011-05,Ford ,Ford Focus,359
2011-05,Nissan ,Nissan Qashqai,349
2011-05,Toyota ,Toyota Avensis,335
2011-05,Volkswagen ,Volkswagen Polo,297
2011-05,Ford ,Ford Mondeo,286
2011-05,Toyota ,Toyota Auris,259
2011-05,Audi ,Audi A4,242
2011-05,Skoda ,Skoda Octavia,241
2011-05,Volvo ,Volvo V70,239
2011-05,Volvo ,Volvo V50,213
2011-05,Opel ,Opel Astra,191
2011-05,Peugeot ,Peugeot 3008,149
2011-05,Toyota ,Toyota Rav4,118
2011-05,Volvo ,Volvo XC60,115
2011-05,Suzuki ,Suzuki Swift,101
2011-05,Volkswagen ,Volkswagen Tiguan,81
2011-06,Volkswagen ,Volkswagen Passat,411
2011-06,Volkswagen ,Volkswagen Golf,391
2011-06,Mitsubishi ,Mitsubishi ASX,363
2011-06,Ford ,Ford Focus,325
2011-06,Ford ,Ford Mondeo,310
2011-06,Nissan ,Nissan Qashqai,307
2011-06,Volvo ,Volvo V70,256
2011-06,Volvo ,Volvo V60,255
2011-06,Toyota ,Toyota Avensis,246
2011-06,Skoda ,Skoda Octavia,245
2011-06,Audi ,Audi A4,203
2011-06,Peugeot ,Peugeot 508,191
2011-06,Volvo ,Volvo V50,170
2011-06,Opel ,Opel Astra,168
2011-06,Toyota ,Toyota Auris,141
2011-06,Volkswagen ,Volkswagen Polo,141
2011-06,Peugeot ,Peugeot 3008,118
2011-06,Toyota ,Toyota Yaris,117
2011-06,Volvo ,Volvo XC60,89
2011-06,Volkswagen ,Volkswagen Tiguan,55
2011-07,Volkswagen ,Volkswagen Golf,636
2011-07,Mitsubishi ,Mitsubishi ASX,477
2011-07,Toyota ,Toyota Avensis,410
2011-07,Volvo ,Volvo V70,384
2011-07,Ford ,Ford Focus,352
2011-07,Volkswagen ,Volkswagen Passat,329
2011-07,Nissan ,Nissan Qashqai,305
2011-07,Skoda ,Skoda Octavia,283
2011-07,Volvo ,Volvo V50,255
2011-07,Toyota ,Toyota Auris,236
2011-07,Volkswagen ,Volkswagen Polo,236
2011-07,Toyota ,Toyota Yaris,225
2011-07,Volvo ,Volvo V60,222
2011-07,Peugeot ,Peugeot 508,220
2011-07,Ford ,Ford Mondeo,208
2011-07,Audi ,Audi A4,192
2011-07,Opel ,Opel Astra,176
2011-07,Volvo ,Volvo XC60,172
2011-07,Peugeot ,Peugeot 3008,145
2011-07,Volkswagen ,Volkswagen Tiguan,115
2011-08,Volkswagen ,Volkswagen Golf,668
2011-08,Ford ,Ford Focus,520
2011-08,Volkswagen ,Volkswagen Passat,406
2011-08,Mitsubishi ,Mitsubishi ASX,338
2011-08,Volkswagen ,Volkswagen Polo,305
2011-08,Skoda ,Skoda Octavia,274
2011-08,Toyota ,Toyota Avensis,266
2011-08,Nissan ,Nissan Qashqai,262
2011-08,Toyota ,Toyota Auris,243
2011-08,Volvo ,Volvo V70,232
2011-08,Ford ,Ford Mondeo,230
2011-08,Volkswagen ,Volkswagen Tiguan,222
2011-08,Audi ,Audi A4,193
2011-08,Volvo ,Volvo V50,178
2011-08,Peugeot ,Peugeot 508,173
2011-08,Toyota ,Toyota Yaris,153
2011-08,Volvo ,Volvo V60,151
2011-08,Opel ,Opel Astra,147
2011-08,Peugeot ,Peugeot 3008,142
2011-08,Volvo ,Volvo XC60,72
2011-09,Volkswagen ,Volkswagen Golf,608
2011-09,Ford ,Ford Focus,440
2011-09,Nissan ,Nissan Qashqai,430
2011-09,Volvo ,Volvo V70,372
2011-09,Volkswagen ,Volkswagen Passat,342
2011-09,Skoda ,Skoda Octavia,331
2011-09,Toyota ,Toyota Avensis,321
2011-09,Volvo ,Volvo XC60,301
2011-09,Volvo ,Volvo V60,252
2011-09,Ford ,Ford Mondeo,239
2011-09,Toyota ,Toyota Auris,229
2011-09,Volkswagen ,Volkswagen Tiguan,225
2011-09,Volkswagen ,Volkswagen Polo,220
2011-09,Audi ,Audi A4,205
2011-09,Peugeot ,Peugeot 508,184
2011-09,Peugeot ,Peugeot 3008,169
2011-09,Volvo ,Volvo V50,163
2011-09,Toyota ,Toyota Yaris,154
2011-09,Opel ,Opel Astra,111
2011-09,Mitsubishi ,Mitsubishi ASX,107
2011-10,Volkswagen ,Volkswagen Golf,667
2011-10,Ford ,Ford Focus,428
2011-10,Volkswagen ,Volkswagen Tiguan,367
2011-10,Volkswagen ,Volkswagen Passat,361
2011-10,Skoda ,Skoda Octavia,357
2011-10,Volvo ,Volvo V70,325
2011-10,Nissan ,Nissan Qashqai,312
2011-10,Ford ,Ford Mondeo,308
2011-10,Toyota ,Toyota Auris,307
2011-10,Volvo ,Volvo V60,296
2011-10,Toyota ,Toyota Avensis,288
2011-10,Volkswagen ,Volkswagen Polo,227
2011-10,Volvo ,Volvo XC60,192
2011-10,Audi ,Audi A4,184
2011-10,BMW ,BMW X3,145
2011-10,Mitsubishi ,Mitsubishi ASX,133
2011-10,Toyota ,Toyota Yaris,94
2011-10,Toyota ,Toyota Prius,75
2011-10,Nissan ,Nissan Leaf,13
2011-11,Volkswagen ,Volkswagen Golf,619
2011-11,Ford ,Ford Focus,492
2011-11,Volvo ,Volvo V70,466
2011-11,Volkswagen ,Volkswagen Passat,396
2011-11,Mitsubishi ,Mitsubishi ASX,382
2011-11,Volkswagen ,Volkswagen Tiguan,332
2011-11,Volvo ,Volvo V60,331
2011-11,Toyota ,Toyota Auris,301
2011-11,Ford ,Ford Mondeo,277
2011-11,Nissan ,Nissan Qashqai,271
2011-11,Toyota ,Toyota Avensis,268
2011-11,Skoda ,Skoda Octavia,257
2011-11,Volkswagen ,Volkswagen Polo,236
2011-11,Volvo ,Volvo XC60,208
2011-11,Peugeot ,Peugeot 508,196
2011-11,Toyota ,Toyota Yaris,195
2011-11,Audi ,Audi A4,178
2011-11,Peugeot ,Peugeot 3008,116
2011-11,Opel ,Opel Astra,114
2011-11,Volvo ,Volvo V50,94
2011-12,Volkswagen ,Volkswagen Golf,607
2011-12,Ford ,Ford Focus,537
2011-12,Volvo ,Volvo V70,503
2011-12,Volkswagen ,Volkswagen Tiguan,479
2011-12,Volkswagen ,Volkswagen Passat,415
2011-12,Mitsubishi ,Mitsubishi ASX,415
2011-12,Volvo ,Volvo V60,360
2011-12,Skoda ,Skoda Octavia,321
2011-12,Ford ,Ford Mondeo,309
2011-12,Volkswagen ,Volkswagen Polo,230
2011-12,Toyota ,Toyota Avensis,225
2011-12,Nissan ,Nissan Qashqai,206
2011-12,Volvo ,Volvo XC60,194
2011-12,Toyota ,Toyota Yaris,188
2011-12,Audi ,Audi A4,185
2011-12,Peugeot ,Peugeot 508,141
2011-12,Toyota ,Toyota Auris,129
2011-12,Volvo ,Volvo V50,118
2011-12,Peugeot ,Peugeot 3008,90
2011-12,Opel ,Opel Astra,81
2012-01,Volkswagen ,Volkswagen Golf,482
2012-01,Toyota ,Toyota Yaris,381
2012-01,Volkswagen ,Volkswagen Tiguan,336
2012-01,Nissan ,Nissan Qashqai,331
2012-01,Volvo ,Volvo V70,313
2012-01,Volkswagen ,Volkswagen Passat,290
2012-01,Ford ,Ford Focus,251
2012-01,Mitsubishi ,Mitsubishi ASX,238
2012-01,BMW ,BMW X3,237
2012-01,Volvo ,Volvo V60,225
2012-01,Volvo ,Volvo XC60,223
2012-01,Toyota ,Toyota Avensis,221
2012-01,Nissan ,Nissan Leaf,210
2012-01,Peugeot ,Peugeot 508,186
2012-01,Toyota ,Toyota Auris,184
2012-01,Ford ,Ford Mondeo,182
2012-01,Toyota ,Toyota Rav4,179
2012-01,Volkswagen ,Volkswagen Polo,179
2012-01,Audi ,Audi Q3,159
2012-01,Suzuki ,Suzuki Swift,158
2012-02,Toyota ,Toyota Avensis,423
2012-02,Volkswagen ,Volkswagen Golf,377
2012-02,Volkswagen ,Volkswagen Tiguan,314
2012-02,Toyota ,Toyota Yaris,309
2012-02,Ford ,Ford Focus,276
2012-02,Volvo ,Volvo V70,270
2012-02,Volkswagen ,Volkswagen Passat,263
2012-02,Nissan ,Nissan Qashqai,225
2012-02,Toyota ,Toyota Auris,219
2012-02,Skoda ,Skoda Octavia,219
2012-02,Nissan ,Nissan Leaf,214
2012-02,Ford ,Ford Mondeo,208
2012-02,Volkswagen ,Volkswagen Polo,198
2012-02,Volvo ,Volvo V60,186
2012-02,Toyota ,Toyota Rav4,173
2012-02,Mitsubishi ,Mitsubishi ASX,171
2012-02,Peugeot ,Peugeot 508,169
2012-02,Kia ,Kia Sportage,154
2012-02,BMW ,BMW X3,132
2012-02,Volvo ,Volvo XC60,132
2012-03,Volkswagen ,Volkswagen Golf,599
2012-03,Ford ,Ford Focus,509
2012-03,Toyota ,Toyota Avensis,500
2012-03,Volvo ,Volvo V70,439
2012-03,Volkswagen ,Volkswagen Tiguan,377
2012-03,Toyota ,Toyota Yaris,368
2012-03,Volkswagen ,Volkswagen Passat,332
2012-03,Nissan ,Nissan Qashqai,293
2012-03,Ford ,Ford Mondeo,264
2012-03,Toyota ,Toyota Auris,263
2012-03,Volvo ,Volvo V50,232
2012-03,Toyota ,Toyota Rav4,228
2012-03,Skoda ,Skoda Octavia,210
2012-03,Volvo ,Volvo V60,199
2012-03,Mitsubishi ,Mitsubishi ASX,186
2012-03,BMW ,BMW X3,186
2012-03,Nissan ,Nissan Leaf,179
2012-03,Volvo ,Volvo XC60,173
2012-03,Volkswagen ,Volkswagen Polo,136
2012-03,Peugeot ,Peugeot 508,133
2012-04,Volkswagen ,Volkswagen Golf,685
2012-04,Volkswagen ,Volkswagen Tiguan,414
2012-04,Volkswagen ,Volkswagen Passat,397
2012-04,Toyota ,Toyota Avensis,316
2012-04,Volvo ,Volvo V70,301
2012-04,Skoda ,Skoda Octavia,297
2012-04,Toyota ,Toyota Yaris,289
2012-04,Ford ,Ford Focus,269
2012-04,Volkswagen ,Volkswagen Polo,257
2012-04,Volvo ,Volvo V50,228
2012-04,Toyota ,Toyota Auris,208
2012-04,Mitsubishi ,Mitsubishi ASX,200
2012-04,BMW ,BMW X3,199
2012-04,Nissan ,Nissan Qashqai,197
2012-04,Volvo ,Volvo V60,183
2012-04,Volvo ,Volvo XC60,169
2012-04,Toyota ,Toyota Rav4,157
2012-04,Ford ,Ford Mondeo,155
2012-04,Peugeot ,Peugeot 508,128
2012-04,Nissan ,Nissan Leaf,113
2012-05,Volkswagen ,Volkswagen Golf,555
2012-05,Ford ,Ford Focus,467
2012-05,Volkswagen ,Volkswagen Passat,417
2012-05,Toyota ,Toyota Avensis,376
2012-05,Volvo ,Volvo V70,332
2012-05,Volvo ,Volvo V50,329
2012-05,Volkswagen ,Volkswagen Tiguan,313
2012-05,Toyota ,Toyota Auris,299
2012-05,Nissan ,Nissan Qashqai,260
2012-05,Volvo ,Volvo V60,258
2012-05,Toyota ,Toyota Yaris,256
2012-05,Mitsubishi ,Mitsubishi ASX,240
2012-05,BMW ,BMW X3,223
2012-05,Skoda ,Skoda Octavia,220
2012-05,Peugeot ,Peugeot 508,198
2012-05,Nissan ,Nissan Leaf,179
2012-05,Ford ,Ford Mondeo,178
2012-05,Toyota ,Toyota Rav4,149
2012-05,Volkswagen ,Volkswagen Polo,119
2012-05,Volvo ,Volvo XC60,117
2012-06,Ford ,Ford Focus,516
2012-06,Volkswagen ,Volkswagen Golf,377
2012-06,Volkswagen ,Volkswagen Passat,349
2012-06,Toyota ,Toyota Avensis,333
2012-06,Volkswagen ,Volkswagen Tiguan,311
2012-06,Volvo ,Volvo V70,305
2012-06,Skoda ,Skoda Octavia,274
2012-06,Nissan ,Nissan Qashqai,227
2012-06,Ford ,Ford Mondeo,226
2012-06,Volvo ,Volvo V60,224
2012-06,BMW ,BMW X3,224
2012-06,Toyota ,Toyota Yaris,213
2012-06,Toyota ,Toyota Auris,208
2012-06,Mazda ,Mazda CX-5,204
2012-06,Subaru ,Subaru XV,182
2012-06,Mitsubishi ,Mitsubishi ASX,176
2012-06,Kia ,Kia Sportage,164
2012-06,Volvo ,Volvo XC60,157
2012-06,Peugeot ,Peugeot 508,156
2012-06,Toyota ,Toyota Prius,144
2012-06,Audi ,Audi A4,143
2012-06,Ford ,Ford S-Max,140
2012-06,Volvo ,Volvo V50,138
2012-06,Nissan ,Nissan Leaf,138
2012-06,BMW ,BMW 1-serie,133
2012-06,Peugeot ,Peugeot 208,133
2012-06,Hyundai ,Hyundai i30,132
2012-06,Skoda ,Skoda Superb,127
2012-06,Toyota ,Toyota RAV4,125
2012-06,Hyundai ,Hyundai ix35,125
2012-06,Volkswagen ,Volkswagen Polo,110
2012-07,Volkswagen ,Volkswagen Golf,612
2012-07,Volkswagen ,Volkswagen Passat,420
2012-07,Toyota ,Toyota Avensis,378
2012-07,Ford ,Ford Focus,369
2012-07,Skoda ,Skoda Octavia,356
2012-07,Volkswagen ,Volkswagen Tiguan,352
2012-07,Volvo ,Volvo V70,340
2012-07,Nissan ,Nissan Qashqai,275
2012-07,Subaru ,Subaru XV,263
2012-07,Toyota ,Toyota Auris,245
2012-07,Volvo ,Volvo V60,244
2012-07,Ford ,Ford Mondeo,218
2012-07,Toyota ,Toyota Yaris,212
2012-07,Volkswagen ,Volkswagen Polo,198
2012-07,Mitsubishi ,Mitsubishi ASX,182
2012-07,Nissan ,Nissan Leaf,174
2012-07,Volvo ,Volvo XC60,173
2012-07,BMW ,BMW X3,165
2012-07,Toyota ,Toyota Rav4,124
2012-07,Volvo ,Volvo V50,103
2012-08,Volkswagen ,Volkswagen Golf,566
2012-08,Toyota ,Toyota Yaris,453
2012-08,Volkswagen ,Volkswagen Passat,340
2012-08,Ford ,Ford Focus,337
2012-08,Toyota ,Toyota Avensis,280
2012-08,Subaru ,Subaru XV,272
2012-08,Volkswagen ,Volkswagen Polo,236
2012-08,Nissan ,Nissan Qashqai,232
2012-08,Ford ,Ford Mondeo,231
2012-08,Volkswagen ,Volkswagen Tiguan,227
2012-08,Skoda ,Skoda Octavia,217
2012-08,Nissan ,Nissan Leaf,213
2012-08,Volvo ,Volvo V60,199
2012-08,Mitsubishi ,Mitsubishi ASX,185
2012-08,Audi ,Audi A4,185
2012-08,Kia ,Kia Sportage,174
2012-08,Volvo ,Volvo V70,173
2012-08,Toyota ,Toyota Auris,171
2012-08,BMW ,BMW X3,139
2012-08,Volvo ,Volvo V50,46
2012-09,Volkswagen ,Volkswagen Golf,461
2012-09,Ford ,Ford Focus,338
2012-09,Toyota ,Toyota Prius,324
2012-09,Volkswagen ,Volkswagen Passat,321
2012-09,Volvo ,Volvo V70,320
2012-09,Subaru ,Subaru XV,319
2012-09,Volvo ,Volvo V60,303
2012-09,Toyota ,Toyota Avensis,288
2012-09,Toyota ,Toyota Yaris,274
2012-09,Ford ,Ford Mondeo,263
2012-09,Nissan ,Nissan Leaf,257
2012-09,Volkswagen ,Volkswagen Tiguan,245
2012-09,Nissan ,Nissan Qashqai,224
2012-09,Skoda ,Skoda Octavia,179
2012-09,BMW ,BMW X3,176
2012-09,Toyota ,Toyota Auris,173
2012-09,Mitsubishi ,Mitsubishi ASX,159
2012-09,Audi ,Audi A4,119
2012-09,Kia ,Kia Sportage,118
2012-09,Volkswagen ,Volkswagen Polo,101
2012-10,Volkswagen ,Volkswagen Golf,483
2012-10,Toyota ,Toyota Yaris,460
2012-10,Volkswagen ,Volkswagen Passat,391
2012-10,Toyota ,Toyota Prius,351
2012-10,Volkswagen ,Volkswagen Tiguan,341
2012-10,Ford ,Ford Focus,319
2012-10,Volvo ,Volvo V60,295
2012-10,Toyota ,Toyota Avensis,286
2012-10,Nissan ,Nissan Leaf,277
2012-10,Volvo ,Volvo V70,276
2012-10,Ford ,Ford Mondeo,262
2012-10,Skoda ,Skoda Octavia,255
2012-10,Nissan ,Nissan Qashqai,239
2012-10,Toyota ,Toyota Auris,224
2012-10,Subaru ,Subaru XV,212
2012-10,Volvo ,Volvo XC60,177
2012-10,BMW ,BMW X3,170
2012-10,Volkswagen ,Volkswagen Polo,169
2012-10,Audi ,Audi A4,160
2012-10,Mitsubishi ,Mitsubishi ASX,133
2012-11,Volkswagen ,Volkswagen Golf,664
2012-11,Volkswagen ,Volkswagen Passat,376
2012-11,Volkswagen ,Volkswagen Tiguan,371
2012-11,Toyota ,Toyota Yaris,366
2012-11,Volvo ,Volvo V70,337
2012-11,Ford ,Ford Focus,301
2012-11,Toyota ,Toyota Prius,279
2012-11,Volvo ,Volvo V60,278
2012-11,Nissan ,Nissan Qashqai,272
2012-11,Volvo ,Volvo V40,230
2012-11,Mitsubishi ,Mitsubishi Outlander,224
2012-11,Kia ,Kia Sportage,223
2012-11,Audi ,Audi A4,216
2012-11,Volkswagen ,Volkswagen up!,208
2012-11,Volkswagen ,Volkswagen Polo,207
2012-11,Volvo ,Volvo XC60,207
2012-11,Nissan ,Nissan Leaf,206
2012-11,Toyota ,Toyota Auris,199
2012-11,Peugeot ,Peugeot 208,195
2012-11,Skoda ,Skoda Octavia,190
2012-11,Toyota ,Toyota Avensis,187
2012-11,Subaru ,Subaru XV,168
2012-11,BMW ,BMW 3-serie,158
2012-11,Mercedes-Benz ,Mercedes-Benz B-klasse,149
2012-11,Kia ,Kia cee'd,146
2012-11,BMW ,BMW X3,140
2012-11,Honda ,Honda CR-V,138
2012-11,Mazda ,Mazda CX-5,137
2012-11,Ford ,Ford Mondeo,133
2012-11,Citroen ,Citroen C4 Aircross,129
2012-11,Mitsubishi ,Mitsubishi ASX,88
2012-12,Volvo ,Volvo V70,454
2012-12,Volkswagen ,Volkswagen Golf,452
2012-12,Ford ,Ford Focus,309
2012-12,Volvo ,Volvo XC60,287
2012-12,Volkswagen ,Volkswagen Tiguan,278
2012-12,Volvo ,Volvo V60,266
2012-12,Volkswagen ,Volkswagen Passat,252
2012-12,Skoda ,Skoda Octavia,252
2012-12,Mazda ,Mazda CX-5,226
2012-12,Volvo ,Volvo V40,220
2012-12,Mitsubishi ,Mitsubishi Outlander,192
2012-12,Toyota ,Toyota Prius,188
2012-12,Toyota ,Toyota Auris,162
2012-12,Mercedes-Benz ,Mercedes-Benz B-klasse,159
